month,product_group,monthly_first_premium_flow,monthly_first_premium_yoy,monthly_first_premium_ma3,monthly_renewal_premium_flow,monthly_renewal_premium_yoy,monthly_renewal_premium_ma3,lump_sum_first_premium_flow,lump_sum_first_premium_yoy,total_amount_flow,total_amount_yoy,total_amount_ma3
2025-04,표준형_질병보험,9425097,-0.13083817138717355,8418038,1249403224,-0.034028145647372825,1259679255,15379,-0.6653538166942292,1260227576,-0.034963504947800095,1269723116.3333333
2025-04,표준형_상해,12547648,-0.25318718214703045,10623700.333333334,1354320446,-0.03372659306236427,1363814102.6666667,23000,-0.892874775269909,1370591085,-0.036096944916611855,1378981535.3333333
2025-04,표준형_실손의료,3246377,-0.04437010668195026,3660521.3333333335,317559962,0.24205110566869947,312168364.6666667,0,,321176113,0.23814784456776625,316353912.6666667
2025-04,표준형_운전자,7378813,-0.1803727682253382,8460030.666666666,438386535,-0.014945143286258362,440537122.3333333,31,,447035533,-0.01870753644862165,450354622.6666667
2025-04,표준형_어린이,2599771,0.9968347381535025,2546994.3333333335,378059027,-0.11071602462139776,381683911.3333333,6258,-0.37357357357357357,380811582,-0.10733258874133467,384451433
2025-04,표준형_치매간병,1534640,5.07054560701896,1443143,64738947,-0.3870417321539372,65257393.666666664,0,,79553963,-0.3638599026206387,89031029
2025-04,무저해지형_질병보험,29335837,0.6764135317313712,30330568,621584682,0.5697859598394155,599604005,0,,651647657,0.5732485705368394,630859870.3333334
2025-04,무저해지형_상해,15581871,6.10711711925387,15545772,272620164,0.3871395178307565,267606240,0,,288789148,0.4515262998126139,283758613.3333333
2025-04,무저해지형_어린이,3659332,-53.270944334138015,4328415,232274363,0.24138917278104063,231523947,0,,235938964,0.2614233873328349,235864492
2025-04,무저해지형_치매간병,824600,1.2415770960077854,1069164,38403787,14.560168357385063,37621675.666666664,0,,44398885,-8.868249063273831,44704865.666666664
2025-05,원리금보장형장기손해보험합계,77267119,-0.01853186860869196,92770538.66666667,5866283794,0.0654332485604303,5830474155,6031235,21.5993907282783,6004775414,0.07053577863741928,6009534025.333333
2025-05,개인보험,76807644,-0.015292687746374283,92265456,5843519299,0.06577892615877771,5807696186.333333,6031235,21.5993907282783,5981384984,0.07099516861450043,5985949820.666667
2025-05,보장성보험,76703356,-0.04528895044742436,92153345.33333333,5820695622,0.06865076658757537,5784159965.666667,229028,37.739512855209746,5922580110,0.06727103636836336,5913206054.333333
2025-05,저축성보험,104288,-1.044539389223388,112110.66666666667,22823677,-0.3676224133703315,23536220.666666668,5802207,21.233744884351864,58804874,0.6513366434085256,72743766.33333333
2025-05,단체보험,459475,-0.366747108171543,505082.6666666667,22764495,-0.01645382021871891,22777968.666666668,0,,23390430,-0.035281845332085233,23584204.666666668
2025-05,표준형,36351364,-0.12331495579418233,41336204.333333336,4607240224,0.010612186181177157,4604181379.666667,229028,37.739512855209746,4663232300,0.010042932303935747,4674900542.333333
2025-05,무저해지환급형,40351992,0.03792944557960855,50817141,1213455398,0.3666424961585939,1179978586,0,,1259347810,0.35063852114203675,1238305512
